id,name,show1,show2,show3,show4,show5,show6,show7,show8,show9,show10
2301,General,"((1995, 'police'), 88)",0,"((1971, 'harem'), 46)",0,"((2010, 'isekai'), 43)",0,"((1992, 'yuri'), 14)",0,0,0
2302,Jeremiah,"((2013, 'vampire'), 21)","((1976, 'adventure'), 79)",0,"((1981, 'mecha'), 93)","((2008, 'parody'), 49)","((1989, 'gender bender'), 10)",0,0,0,"((2016, 'shoujo'), 39)"
2303,Ned,"((1984, 'doujinshi'), 92)",0,0,"((1995, 'historical'), 7)","((1983, 'adventure'), 88)",0,"((1997, 'isekai'), 68)",0,"((1982, 'magic'), 71)","((2010, 'yaoi'), 35)"
2304,Sanford,0,"((2008, 'magic'), 62)","((2001, 'yuri'), 92)","((1978, 'yaoi'), 19)","((1983, 'sounen'), 12)",0,0,0,0,"((2019, 'vampire'), 36)"
2305,Sim,"((1987, 'comedy'), 65)",0,"((1980, 'school'), 85)","((1991, 'police'), 77)",0,0,0,0,"((1972, 'magic'), 90)","((2012, 'mature'), 20)"
2306,Spencer,0,"((1992, 'doujinshi'), 52)","((1989, 'harem'), 51)",0,0,0,0,0,"((1971, 'music'), 59)","((1979, 'sounen'), 33)"
2307,Abner,"((1970, 'fantasy'), 77)",0,0,0,0,0,"((1981, 'yuri'), 68)","((2006, 'magic'), 92)","((2011, 'action'), 59)",0
2308,Carroll,0,"((1972, 'music'), 25)",0,0,"((2018, 'yaoi'), 36)",0,"((1989, 'shoujo'), 70)",0,"((2008, 'music'), 77)",0
2309,Douglas,"((1996, 'mecha'), 47)",0,0,"((2015, 'martial arts'), 61)",0,"((2014, 'school'), 8)",0,0,"((1990, 'music'), 78)",0
2310,Roger,0,0,0,0,0,"((1994, 'music'), 54)","((1994, 'gender bender'), 94)","((1992, 'historical'), 19)",0,"((1984, 'adventure'), 78)"
2311,Burt,0,0,0,0,"((1976, 'food'), 43)",0,"((2001, 'fantasy'), 80)","((1980, 'yaoi'), 20)","((2001, 'adventure'), 61)",0
2312,Seth,"((2000, 'scifi'), 91)","((1976, 'drama'), 57)","((2009, 'harem'), 18)",0,0,0,"((1986, 'scifi'), 78)","((1986, 'shoujo'), 90)","((1990, 'doujinshi'), 9)",0
2313,Archibald,0,0,"((2004, 'ecchi'), 1)",0,0,"((1985, 'shoujo'), 39)","((1995, 'yuri'), 44)","((2002, 'yuri'), 4)","((1996, 'isekai'), 51)",0
2314,Elwood,0,0,0,"((1979, 'mature'), 88)",0,"((2010, 'sounen'), 5)",0,"((1990, 'doujinshi'), 50)",0,"((1976, 'shoujo'), 14)"
2315,Mary,0,"((1994, 'martial arts'), 24)",0,"((1984, '4-koma'), 56)","((1986, 'yaoi'), 5)",0,"((2017, 'parody'), 84)","((2016, 'yaoi'), 87)",0,0
2316,Omer,0,"((1988, 'gender bender'), 32)","((1988, 'action'), 48)",0,0,0,0,"((1994, 'doujinshi'), 49)",0,"((1989, 'sounen'), 47)"
2317,Ward,"((1997, 'magic'), 31)","((1975, 'yuri'), 85)",0,0,"((2007, 'food'), 15)","((1971, 'yaoi'), 10)","((2000, 'comedy'), 9)",0,"((1973, 'harem'), 12)","((1987, 'police'), 38)"
2318,Antonio,"((2007, 'comedy'), 75)",0,"((1994, 'action'), 43)","((2011, 'drama'), 69)",0,"((2001, 'horror'), 81)",0,"((1996, 'magic'), 81)",0,"((1973, 'adult'), 87)"
2319,Boyd,0,0,"((1988, 'sounen'), 46)","((2007, 'horror'), 66)","((2018, 'yaoi'), 37)",0,0,"((1971, 'demons'), 72)","((2014, 'scifi'), 43)",0
2320,Freeman,"((1988, 'sounen'), 84)",0,0,"((2008, 'one shot'), 38)",0,0,0,0,0,0
2321,Napoleon,0,0,"((1975, 'adventure'), 91)","((1977, 'historical'), 49)","((1996, 'action'), 69)","((1975, 'sounen'), 48)","((1975, 'police'), 25)","((2014, 'scifi'), 55)","((1976, 'drama'), 52)",0
2322,Wilber,0,"((2013, 'kids'), 68)","((2013, 'one shot'), 59)","((1980, 'josei'), 93)","((1994, 'kids'), 61)","((2018, 'drama'), 100)",0,"((1977, 'drama'), 78)","((2019, 'music'), 97)","((2001, 'comedy'), 64)"
2323,Zack,"((1982, 'harem'), 18)",0,0,"((1981, 'sounen'), 35)","((2016, 'yaoi'), 71)",0,"((2000, 'school'), 66)",0,"((2018, 'gender bender'), 91)",0
2324,Dudley,0,"((1998, 'shoujo'), 43)","((1971, 'parody'), 69)",0,"((1993, 'food'), 50)",0,0,0,0,0
2325,Isiah,"((2003, 'action'), 69)",0,"((1987, 'yaoi'), 13)","((2011, 'music'), 7)","((2004, 'yuri'), 39)","((1992, 'doujinshi'), 93)",0,"((1990, 'mature'), 8)","((2017, 'music'), 83)","((1999, 'mecha'), 86)"
2326,Leander,"((2001, 'yuri'), 27)",0,"((1985, 'yuri'), 66)",0,0,0,0,"((2016, 'school'), 85)","((1988, 'harem'), 89)",0
2327,Pat,0,"((2012, 'doujinshi'), 95)",0,"((1996, 'music'), 67)","((1987, 'josei'), 54)",0,0,"((1990, 'police'), 42)","((2016, 'historical'), 23)",0
2328,Pink,0,"((1984, 'gender bender'), 91)","((1997, 'gender bender'), 99)","((2005, 'school'), 99)",0,0,0,"((1993, 'josei'), 50)",0,"((2002, 'doujinshi'), 28)"
2329,Porter,"((1988, 'sounen'), 99)","((2003, 'music'), 20)",0,"((1994, 'josei'), 7)","((1996, 'sounen'), 18)",0,0,"((2019, 'martial arts'), 22)","((1971, 'fantasy'), 46)",0
2330,Vern,"((1995, 'horror'), 85)","((2019, 'isekai'), 26)","((2016, 'sounen'), 87)",0,"((2002, 'ecchi'), 75)",0,"((2019, 'scifi'), 86)",0,0,0
2331,Walker,0,"((1978, 'historical'), 19)",0,0,"((2019, 'josei'), 96)",0,"((2008, '4-koma'), 39)","((2014, 'one shot'), 41)",0,0
2332,Allie,"((2010, 'adult'), 84)",0,"((1992, 'yaoi'), 92)",0,0,0,0,0,0,"((1999, '4-koma'), 15)"
2333,Berry,0,"((1997, 'horror'), 37)","((2006, 'isekai'), 8)",0,0,"((2019, 'ecchi'), 50)",0,"((2004, 'kids'), 63)","((1987, 'isekai'), 39)",0
2334,Dallas,0,"((1985, 'scifi'), 31)",0,0,"((1997, 'yuri'), 59)","((2002, 'historical'), 50)","((2019, 'parody'), 97)",0,"((2012, 'mecha'), 79)","((2014, 'mecha'), 61)"
2335,Forest,"((1983, '4-koma'), 20)",0,0,"((2010, 'mature'), 75)",0,"((1996, 'demons'), 72)","((2004, 'josei'), 49)",0,0,0
2336,Glen,"((2006, 'adventure'), 28)","((1982, 'mature'), 15)",0,"((1976, 'drama'), 95)",0,"((2016, 'school'), 78)",0,"((1973, 'mecha'), 1)",0,0
2337,Green,"((1973, 'mecha'), 16)","((1980, 'horror'), 52)","((1976, '4-koma'), 17)",0,0,0,"((1978, 'fantasy'), 75)","((1981, 'kids'), 56)","((1977, 'one shot'), 79)",0
2338,Hans,0,"((2006, '4-koma'), 78)","((1977, 'adult'), 56)","((1985, 'fantasy'), 90)","((2018, 'magic'), 90)",0,0,0,"((2001, 'school'), 80)",0
2339,Henderson,0,"((1975, 'yaoi'), 57)",0,0,0,"((1988, 'martial arts'), 52)",0,0,"((2001, 'demons'), 78)","((1989, 'magic'), 53)"
2340,Jonathan,"((1992, 'mature'), 32)","((1973, 'fantasy'), 51)","((2012, 'adult'), 81)","((2019, 'mecha'), 53)","((2008, 'kids'), 97)","((2017, 'parody'), 38)",0,"((1979, 'mecha'), 11)","((1998, 'parody'), 78)","((2001, 'yaoi'), 95)"
2341,Lynn,"((2019, 'magic'), 93)",0,"((2001, 'scifi'), 64)","((2012, 'doujinshi'), 16)","((1972, 'yaoi'), 17)",0,"((1989, 'historical'), 14)",0,0,"((2018, 'police'), 26)"
2342,Madison,0,"((2002, 'fantasy'), 56)",0,"((1974, 'food'), 69)","((1994, 'drama'), 56)","((1989, 'ecchi'), 70)",0,0,0,"((1997, 'demons'), 25)"
2343,Milo,0,"((2007, 'vampire'), 63)","((1984, 'school'), 27)","((1991, 'parody'), 42)","((2012, 'police'), 36)",0,0,0,0,"((2016, 'adult'), 14)"
2344,Pedro,"((2019, 'isekai'), 31)",0,"((1995, 'music'), 63)","((2010, 'drama'), 73)",0,"((1980, 'shoujo'), 42)",0,0,"((1981, 'mecha'), 96)",0
2345,Royal,"((1988, 'school'), 19)",0,0,0,0,0,0,"((2019, 'food'), 65)","((2007, 'ecchi'), 18)","((2005, 'kids'), 59)"
2346,Taylor,0,0,"((1995, 'demons'), 20)",0,"((2017, 'vampire'), 65)",0,0,0,"((1996, 'sounen'), 41)",0
2347,Hal,0,"((1980, 'one shot'), 12)","((1980, 'drama'), 72)",0,"((2009, 'horror'), 3)","((2004, 'music'), 53)","((2011, 'police'), 77)","((1975, 'historical'), 94)",0,0
2348,Hardy,0,0,"((1998, 'fantasy'), 41)",0,0,0,"((2012, '4-koma'), 91)","((2008, 'action'), 86)",0,"((1978, 'fantasy'), 86)"
2349,Jonas,"((2004, 'food'), 10)","((1993, 'adventure'), 83)",0,"((1977, 'ecchi'), 31)","((1979, '4-koma'), 5)",0,0,"((1990, 'action'), 5)",0,0
2350,King,0,0,0,0,"((2003, 'gender bender'), 70)",0,0,"((2008, 'kids'), 60)",0,0
2351,Matt,"((1990, 'kids'), 97)",0,"((1974, 'action'), 23)",0,0,0,0,"((2013, 'historical'), 74)","((1976, 'one shot'), 71)","((1980, 'food'), 47)"
2352,Myron,"((2018, '4-koma'), 47)",0,"((1978, 'mature'), 22)","((2007, 'fantasy'), 6)","((1999, 'food'), 6)","((2017, 'police'), 87)",0,"((1985, 'food'), 70)","((2009, 'vampire'), 1)",0
2353,Nels,"((2009, 'one shot'), 18)","((2009, 'gender bender'), 13)",0,"((1980, 'mecha'), 47)","((2008, 'scifi'), 86)",0,0,0,"((1993, 'food'), 4)",0
2354,Wash,0,0,0,0,0,0,"((1986, 'music'), 58)","((2004, 'josei'), 84)","((1993, 'food'), 25)","((1980, 'ecchi'), 18)"
2355,Abram,0,"((1994, '4-koma'), 24)",0,"((1991, 'historical'), 49)","((2009, 'scifi'), 39)","((1984, 'one shot'), 59)","((2004, 'music'), 61)","((2016, 'isekai'), 75)","((2001, 'horror'), 85)",0
2356,Caleb,0,"((2002, 'ecchi'), 49)",0,0,0,0,"((1982, 'drama'), 100)","((2003, 'mecha'), 19)",0,"((2012, 'drama'), 70)"
2357,Casper,0,"((1988, '4-koma'), 75)","((1994, 'josei'), 82)",0,"((2010, 'isekai'), 9)",0,"((2006, 'drama'), 14)","((1990, 'doujinshi'), 19)","((2011, 'adventure'), 55)",0
2358,Frederic,0,0,0,0,"((1988, 'martial arts'), 19)",0,0,0,0,"((1990, 'ecchi'), 81)"
2359,Granville,"((1998, 'parody'), 30)",0,0,"((1992, 'school'), 71)",0,"((1998, 'police'), 60)","((1991, 'mature'), 23)",0,"((1999, 'gender bender'), 23)",0
2360,Gust,"((1992, 'harem'), 94)",0,"((2001, 'one shot'), 39)",0,0,0,0,"((2014, 'shoujo'), 77)","((1990, 'sounen'), 44)","((1995, 'historical'), 36)"
2361,Ivan,"((2019, 'yaoi'), 44)",0,"((1973, 'yuri'), 52)",0,"((2007, 'scifi'), 32)",0,0,0,0,0
2362,Lem,0,"((2001, 'ecchi'), 62)",0,"((2010, 'music'), 46)","((1971, 'drama'), 85)","((1996, 'demons'), 100)",0,0,"((1983, 'doujinshi'), 16)","((2018, 'mecha'), 42)"
2363,Otho,"((2008, 'one shot'), 61)",0,0,0,"((1981, 'yuri'), 83)","((1984, 'adult'), 96)","((1980, 'drama'), 27)",0,0,0
2364,Wilford,"((1973, 'police'), 46)",0,0,0,"((1980, 'music'), 68)",0,"((2014, 'shoujo'), 27)","((2003, 'sounen'), 61)",0,"((1999, 'shoujo'), 28)"
2365,Angus,0,"((2017, 'parody'), 71)","((1990, 'martial arts'), 73)","((1996, 'mecha'), 38)","((1992, 'mature'), 35)","((1970, 'isekai'), 28)",0,0,"((1971, 'kids'), 76)","((2016, 'josei'), 50)"
2366,Isom,0,"((1999, 'adult'), 99)","((2002, 'mecha'), 38)","((2010, 'parody'), 31)","((1972, 'harem'), 63)","((1994, 'yaoi'), 15)","((2017, 'magic'), 76)","((1971, 'parody'), 34)",0,0
2367,Josiah,"((1999, 'josei'), 33)","((1995, 'magic'), 12)","((1986, 'sounen'), 6)","((2012, 'music'), 27)",0,"((1974, 'music'), 64)","((1981, 'school'), 43)",0,0,"((1972, 'kids'), 52)"
2368,Laurence,"((2008, 'adventure'), 59)","((1974, 'adventure'), 69)",0,0,"((2014, 'horror'), 86)",0,0,0,0,"((1980, 'fantasy'), 72)"
2369,Morgan,"((1982, 'fantasy'), 36)",0,0,0,0,"((1982, 'historical'), 75)","((1976, 'police'), 1)","((2013, 'horror'), 51)","((2013, '4-koma'), 29)","((2016, 'comedy'), 65)"
2370,Christ,0,0,0,0,"((2019, 'isekai'), 67)",0,"((2014, 'adult'), 28)","((1970, 'police'), 51)","((1980, 'police'), 29)","((1985, 'fantasy'), 37)"
2371,Clement,0,0,0,"((2013, 'vampire'), 61)","((2006, 'martial arts'), 76)","((1979, 'one shot'), 85)","((1989, 'isekai'), 30)",0,"((1993, 'gender bender'), 40)","((2017, 'demons'), 89)"
2372,Dee,"((1987, 'harem'), 55)",0,"((2012, 'police'), 84)","((1993, 'harem'), 13)","((1989, 'yuri'), 27)","((1973, 'action'), 36)","((1980, 'yuri'), 77)",0,"((1980, 'scifi'), 39)",0
2373,Judson,0,0,0,"((2010, 'adult'), 39)","((1980, 'yaoi'), 71)","((1977, 'kids'), 79)","((1987, 'yuri'), 32)","((1998, 'one shot'), 63)","((1972, 'scifi'), 68)","((1973, 'scifi'), 94)"
2374,Junius,"((1982, 'vampire'), 93)",0,0,0,"((1973, 'one shot'), 78)",0,"((1994, 'police'), 84)",0,"((1975, 'kids'), 26)","((2010, 'scifi'), 65)"
2375,Morton,0,"((1993, 'music'), 68)",0,0,0,"((2017, 'isekai'), 56)",0,"((2007, 'magic'), 59)",0,0
2376,Washington,0,"((2016, 'drama'), 64)","((1973, 'shoujo'), 20)",0,0,"((2005, 'music'), 8)","((1990, 'yuri'), 75)",0,"((2019, 'police'), 90)","((1979, 'kids'), 4)"
2377,Earle,"((2017, 'yaoi'), 18)","((1997, 'mature'), 73)","((1991, 'action'), 27)","((2011, 'josei'), 93)","((1974, 'food'), 22)",0,0,"((1979, 'doujinshi'), 85)",0,0
2378,Ellsworth,"((1994, 'martial arts'), 20)",0,0,"((1992, 'ecchi'), 72)","((2006, 'demons'), 37)","((1971, 'vampire'), 91)",0,0,0,0
2379,Emmet,"((1992, '4-koma'), 54)",0,0,"((1976, 'martial arts'), 2)",0,0,"((1988, 'vampire'), 64)",0,0,"((1985, 'sounen'), 75)"
2380,Harve,"((2011, 'demons'), 41)",0,0,0,"((1998, 'adult'), 7)",0,0,"((1994, 'shoujo'), 80)",0,0
2381,Israel,"((1980, 'food'), 99)",0,0,"((1983, 'comedy'), 47)","((2000, 'magic'), 41)","((2011, 'mature'), 14)",0,0,"((1979, 'martial arts'), 91)",0
2382,Johnie,0,"((1982, 'adult'), 1)",0,0,"((1971, 'yuri'), 8)","((2009, 'parody'), 28)","((1992, 'fantasy'), 33)","((1979, 'mature'), 81)",0,0
2383,Kenneth,"((2005, 'adult'), 55)",0,"((2019, 'demons'), 58)",0,"((1997, 'music'), 91)","((1975, 'food'), 19)",0,"((2007, 'isekai'), 10)",0,"((2008, 'martial arts'), 93)"
2384,Lige,"((1995, 'parody'), 91)","((1979, 'harem'), 51)","((1983, 'drama'), 21)",0,0,0,"((1983, 'adult'), 95)","((1993, 'police'), 60)",0,"((1991, 'sounen'), 56)"
2385,Orrin,"((1975, 'demons'), 54)",0,0,0,0,"((1974, 'music'), 5)","((1985, 'comedy'), 81)","((1983, 'adventure'), 28)",0,0
2386,Steven,0,0,0,"((2016, 'yuri'), 49)","((2017, 'kids'), 73)",0,0,0,"((2017, 'food'), 35)","((2018, 'doujinshi'), 58)"
2387,Wayne,0,0,"((2012, 'police'), 57)",0,"((2010, 'kids'), 47)","((1999, '4-koma'), 63)",0,0,"((1972, 'adult'), 77)",0
2388,Wilfred,0,"((2012, 'shoujo'), 43)","((2008, '4-koma'), 87)","((1987, 'mature'), 6)","((2016, 'vampire'), 18)","((1986, 'demons'), 51)","((1977, 'fantasy'), 95)","((2007, 'historical'), 59)","((1995, 'harem'), 47)",0
2389,Addison,0,"((2002, 'mecha'), 86)","((1992, 'school'), 76)",0,"((2005, 'josei'), 72)",0,0,"((1974, 'action'), 31)","((1994, 'mecha'), 35)","((2018, 'harem'), 96)"
2390,Bertram,"((2010, 'horror'), 93)",0,"((1979, 'yaoi'), 68)",0,"((1971, 'gender bender'), 51)","((2008, 'magic'), 44)",0,"((2018, 'adult'), 44)",0,"((1979, 'gender bender'), 11)"
2391,Carlton,"((1999, 'yaoi'), 21)",0,"((1980, 'comedy'), 41)",0,"((1999, 'mature'), 67)","((1973, 'school'), 17)",0,"((1979, 'food'), 82)","((1987, 'demons'), 43)","((2003, 'harem'), 14)"
2392,Elliott,"((2006, 'martial arts'), 48)","((2008, 'doujinshi'), 99)",0,"((1971, 'adventure'), 14)","((2011, 'one shot'), 62)","((1986, 'school'), 88)",0,0,"((2010, '4-koma'), 7)","((2007, 'scifi'), 56)"
2393,Fletcher,0,"((1992, 'horror'), 85)",0,0,0,0,0,"((1997, 'isekai'), 50)",0,"((1998, 'vampire'), 30)"
2394,Fritz,"((1987, 'music'), 99)",0,0,0,"((1986, 'horror'), 79)",0,0,"((1973, 'food'), 17)",0,0
2395,Lawson,0,0,0,"((2006, 'harem'), 80)","((1979, 'music'), 68)",0,0,0,0,0
2396,Lucian,"((2009, 'ecchi'), 13)",0,"((2018, 'food'), 71)",0,0,"((1982, 'ecchi'), 86)","((1983, 'mature'), 91)","((1990, 'shoujo'), 23)",0,0
2397,Watson,"((2009, 'comedy'), 57)","((2000, 'parody'), 11)",0,0,"((1986, 'adult'), 27)",0,0,"((1972, 'vampire'), 52)",0,0
2398,Wilburn,0,0,0,0,0,"((2003, 'josei'), 100)","((1981, 'yaoi'), 37)",0,0,"((1973, 'school'), 91)"
2399,Billie,"((1975, 'horror'), 48)",0,"((1986, 'martial arts'), 32)",0,0,0,"((2007, 'adult'), 4)","((1972, 'josei'), 28)",0,"((1976, 'action'), 98)"
2400,Carlos,"((1972, 'shoujo'), 46)",0,"((2019, 'one shot'), 42)","((2001, 'school'), 86)",0,0,0,0,"((1997, 'mecha'), 85)",0
2401,Clarance,"((1999, 'demons'), 79)",0,"((1981, 'comedy'), 54)",0,0,0,"((1976, 'school'), 52)","((1976, 'martial arts'), 35)",0,0
2402,Elton,"((1999, 'martial arts'), 24)","((1974, '4-koma'), 59)",0,"((1993, 'scifi'), 55)","((1971, 'fantasy'), 88)",0,"((1979, 'one shot'), 29)",0,"((1995, 'comedy'), 80)",0
2403,Gabriel,"((2000, 'mecha'), 50)",0,"((2019, 'horror'), 79)",0,0,0,"((1980, 'adult'), 9)","((1994, 'food'), 41)",0,0
2404,Harmon,0,0,"((1981, 'martial arts'), 46)","((2010, 'horror'), 92)",0,0,0,0,"((2000, 'adult'), 44)","((1998, 'shoujo'), 69)"
2405,Irwin,0,0,"((1998, 'shoujo'), 42)",0,0,"((2008, 'scifi'), 88)","((2008, 'action'), 21)",0,0,"((1973, 'isekai'), 16)"
2406,Jason,0,0,0,"((2019, 'kids'), 65)","((2001, 'drama'), 40)",0,0,"((1985, 'music'), 68)","((1984, 'yaoi'), 61)",0
2407,Jimmie,0,"((2014, 'martial arts'), 11)",0,"((2011, 'adult'), 38)",0,0,0,"((1978, 'music'), 49)","((1985, 'mature'), 52)",0
2408,Judge,"((2010, 'adult'), 63)",0,"((2016, 'school'), 31)",0,"((1998, 'comedy'), 80)","((1993, 'one shot'), 82)",0,0,0,0
2409,Lafayette,0,0,"((2004, 'gender bender'), 11)","((1997, 'mecha'), 63)",0,0,"((1986, 'food'), 72)","((1988, 'vampire'), 43)","((2016, 'kids'), 50)",0
2410,Malcolm,0,0,"((1972, 'kids'), 7)","((1999, 'food'), 93)",0,0,"((1979, 'mature'), 34)","((2016, 'comedy'), 21)",0,0
2411,Merton,"((1978, 'yuri'), 35)",0,"((2014, 'yuri'), 44)","((2008, 'parody'), 15)",0,0,0,0,0,"((1982, 'doujinshi'), 44)"
2412,Ramon,"((1980, 'parody'), 19)",0,0,"((2019, 'gender bender'), 89)","((1981, 'ecchi'), 97)",0,0,0,0,"((2016, 'one shot'), 63)"
2413,Sol,"((1990, 'isekai'), 70)",0,"((1987, 'adventure'), 42)",0,"((1970, 'horror'), 22)","((1976, 'school'), 61)","((1995, 'mature'), 59)","((2007, 'comedy'), 61)",0,"((2005, 'martial arts'), 12)"
2414,Wilbert,"((1986, 'food'), 8)",0,"((1979, 'one shot'), 59)","((2017, 'mature'), 95)","((2013, 'shoujo'), 71)","((1976, 'parody'), 43)","((2012, 'yuri'), 68)","((1998, 'doujinshi'), 39)","((2002, 'vampire'), 31)",0
2415,Wilmer,0,0,0,0,"((2009, 'kids'), 44)","((2008, 'josei'), 20)","((1993, 'fantasy'), 61)",0,0,0
2416,Elmo,0,"((2009, 'yuri'), 50)","((1979, 'action'), 17)",0,"((1998, 'scifi'), 94)",0,"((2007, 'vampire'), 60)","((1976, 'ecchi'), 72)","((2005, 'mature'), 57)",0
2417,Francisco,0,"((2006, 'action'), 71)",0,"((2006, 'josei'), 82)","((1971, 'josei'), 100)","((1977, 'action'), 52)","((2011, 'doujinshi'), 13)","((1971, 'school'), 60)","((1974, 'isekai'), 34)","((1990, 'harem'), 87)"
2418,Geo,0,0,0,"((1994, 'music'), 65)",0,"((2017, 'music'), 56)",0,"((2002, 'yaoi'), 19)","((1972, 'vampire'), 7)","((1974, 'adventure'), 44)"
2419,Hugo,0,"((2016, 'mecha'), 73)",0,0,0,0,"((1996, 'scifi'), 85)",0,0,0
2420,Murray,"((2010, 'kids'), 17)","((1974, 'yaoi'), 94)","((1984, 'sounen'), 89)",0,"((1991, 'food'), 10)",0,"((2004, 'yuri'), 96)",0,"((2007, 'magic'), 90)",0
2421,Neil,0,"((1979, 'kids'), 31)","((1996, 'fantasy'), 37)",0,"((1970, 'adult'), 14)",0,"((1970, 'mecha'), 18)","((1989, 'action'), 30)",0,"((2002, 'magic'), 29)"
2422,Sandy,"((1974, 'action'), 24)",0,0,"((1984, 'magic'), 9)",0,0,"((2001, 'drama'), 70)",0,0,"((2019, 'mature'), 52)"
2423,Simeon,"((2003, 'historical'), 17)","((1982, 'yuri'), 20)","((1998, 'yaoi'), 79)","((2016, 'music'), 2)","((2004, 'fantasy'), 11)",0,0,"((2016, 'josei'), 11)",0,"((1972, 'action'), 95)"
2424,Stewart,0,"((1984, 'school'), 97)",0,"((2010, 'school'), 20)","((2005, 'isekai'), 77)","((1992, 'harem'), 78)",0,"((1996, 'action'), 32)",0,"((1993, 'gender bender'), 11)"
2425,Valentine,"((2001, 'martial arts'), 79)","((2012, 'school'), 90)","((1990, 'parody'), 82)","((2001, 'doujinshi'), 78)",0,"((1980, 'shoujo'), 86)",0,0,"((1981, 'adult'), 20)","((1996, 'kids'), 30)"
2426,Adrian,"((1997, '4-koma'), 55)","((1992, 'comedy'), 3)","((1982, 'food'), 72)",0,"((1977, 'ecchi'), 64)","((1993, 'parody'), 49)","((1973, 'music'), 2)",0,"((1977, 'isekai'), 71)","((2016, 'gender bender'), 94)"
2427,Alton,0,"((2014, 'vampire'), 63)","((2017, 'fantasy'), 76)","((2018, 'school'), 97)","((1987, 'historical'), 32)",0,"((1992, 'magic'), 50)",0,"((1997, 'kids'), 42)","((1980, 'music'), 100)"
2428,Artie,"((1975, 'magic'), 40)","((1990, 'magic'), 23)","((1971, 'isekai'), 34)","((2019, 'shoujo'), 2)","((1992, 'action'), 91)",0,0,"((2014, 'adult'), 96)","((2003, 'mature'), 83)","((1987, 'vampire'), 73)"
2429,Burl,"((1999, 'scifi'), 99)",0,"((1990, 'historical'), 65)",0,"((1996, 'sounen'), 50)",0,0,0,"((1989, 'music'), 71)",0
2430,Carey,"((1997, 'yaoi'), 15)",0,"((1988, 'mecha'), 88)","((1983, 'action'), 58)","((1985, 'comedy'), 27)",0,0,"((1987, 'drama'), 76)",0,0
2431,Coleman,"((2002, 'yaoi'), 87)","((1982, 'drama'), 15)",0,0,0,"((2007, 'adventure'), 67)",0,0,"((1994, 'drama'), 21)",0
2432,Guss,0,0,0,"((1989, 'harem'), 75)",0,"((1972, 'vampire'), 96)","((1971, 'shoujo'), 74)","((1998, 'martial arts'), 18)",0,0
2433,Noble,0,"((2017, 'action'), 4)",0,0,0,0,"((1987, 'parody'), 56)","((2012, 'parody'), 25)","((1995, 'sounen'), 13)","((2005, 'historical'), 13)"
2434,Oren,0,"((2001, 'historical'), 80)","((1982, 'harem'), 40)","((2001, 'yuri'), 18)","((2018, 'horror'), 30)","((1997, 'drama'), 89)",0,"((2009, 'isekai'), 56)",0,0
2435,Prince,"((1987, 'drama'), 4)",0,0,0,0,0,0,"((2004, 'vampire'), 100)","((2000, 'horror'), 17)",0
2436,Wm,"((1980, 'action'), 92)","((1975, 'doujinshi'), 85)","((1990, 'harem'), 55)","((2019, 'school'), 37)",0,"((2001, 'fantasy'), 54)","((1971, 'parody'), 31)",0,0,"((2012, 'kids'), 100)"
2437,Chauncey,"((2002, 'historical'), 86)",0,0,0,"((2014, 'mecha'), 84)",0,"((2016, 'sounen'), 32)","((1991, 'mature'), 93)","((2015, 'sounen'), 21)","((2002, 'gender bender'), 47)"
2438,Clay,"((1970, 'comedy'), 8)","((1991, 'vampire'), 12)","((1994, 'kids'), 2)","((1988, 'shoujo'), 58)",0,0,0,"((2007, 'music'), 13)","((1978, 'action'), 58)",0
2439,Dewitt,"((2000, 'adventure'), 20)",0,"((1983, 'food'), 32)","((1979, 'police'), 19)","((1974, 'mature'), 70)","((1993, 'magic'), 84)",0,"((1975, 'parody'), 57)",0,"((1995, 'drama'), 62)"
2440,Dwight,0,0,0,0,"((2015, 'magic'), 43)",0,0,0,0,"((1978, 'magic'), 85)"
2441,Garland,0,0,"((1996, 'yuri'), 35)","((1993, 'sounen'), 25)",0,0,"((1997, 'gender bender'), 47)","((1970, 'one shot'), 15)","((2016, 'adult'), 46)",0
2442,Haywood,"((1999, 'fantasy'), 60)","((2002, 'harem'), 61)","((1997, 'demons'), 81)",0,0,0,"((2005, 'martial arts'), 67)",0,"((1994, 'gender bender'), 50)","((1984, 'action'), 100)"
2443,Houston,0,"((1991, 'sounen'), 85)",0,0,"((1977, 'food'), 24)",0,0,"((2002, 'parody'), 94)","((1988, '4-koma'), 99)",0
2444,Logan,"((1983, 'yuri'), 15)",0,"((1977, 'school'), 37)","((1973, 'harem'), 44)","((1974, 'ecchi'), 17)","((1985, 'magic'), 14)",0,"((1990, 'shoujo'), 16)","((2016, 'music'), 79)","((2003, 'historical'), 2)"
2445,Lucious,0,0,0,0,"((1972, 'isekai'), 11)",0,"((1980, 'mecha'), 69)","((2011, 'josei'), 38)","((2005, 'parody'), 38)","((1997, 'one shot'), 49)"
2446,Rolla,0,"((1980, 'demons'), 94)","((2008, '4-koma'), 5)",0,"((1981, 'music'), 9)",0,0,0,"((1989, 'adult'), 19)","((1986, 'gender bender'), 46)"
2447,Thornton,"((1973, 'historical'), 97)",0,"((2011, 'mature'), 31)",0,0,0,0,"((2002, 'kids'), 7)","((1990, 'gender bender'), 77)",0
2448,Tobe,0,0,0,"((1986, 'martial arts'), 31)",0,"((1997, 'ecchi'), 90)","((1997, 'police'), 22)","((1976, 'vampire'), 38)","((2003, 'historical'), 69)","((2001, 'ecchi'), 60)"
